season,week,celebrity_name,normalized_score,judge_share,estimated_fan_share,rank_rank,percent_rank,save_rank,is_eliminated,is_bottom3_judge,rule_system
1,1,John O'Hurley,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Kelly Monaco,0.4333333333333333,0.1192660550458715,0.0823576830711346,6.0,6.0,6.0,False,True,Rank
1,1,Evander Holyfield,0.6,0.165137614678899,0.1616809956191235,4.5,4.5,4.5,False,True,Rank
1,1,Rachel Hunter,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Joey McIntyre,0.6666666666666666,0.18348623853211,0.1980934418968727,2.0,2.0,2.0,False,False,Rank
1,1,Trista Sutter,0.6,0.165137614678899,0.1616809956191235,4.5,4.5,4.5,False,True,Rank
1,2,John O'Hurley,0.8666666666666667,0.2148760330578512,0.2480223802842538,1.0,1.0,1.0,False,False,Rank
1,2,Kelly Monaco,0.5666666666666667,0.140495867768595,0.1048700731621138,5.0,5.0,5.0,False,True,Rank
1,2,Evander Holyfield,0.4666666666666667,0.1157024793388429,0.1798674084492353,5.0,4.0,5.0,False,True,Rank
1,2,Rachel Hunter,0.8,0.1983471074380165,0.2279064674779526,2.0,2.0,2.0,False,False,Rank
1,2,Joey McIntyre,0.7,0.1735537190082644,0.2125941790063074,3.0,3.0,3.0,False,False,Rank
1,2,Trista Sutter,0.6333333333333333,0.1570247933884297,0.0267394916201367,5.0,6.0,5.0,True,True,Rank
1,3,John O'Hurley,0.8,0.2264150943396226,0.3176171221630198,1.5,2.0,1.5,False,False,Rank
1,3,Kelly Monaco,0.7,0.1981132075471698,0.1162449260295326,4.0,4.0,4.0,False,True,Rank
1,3,Evander Holyfield,0.4333333333333333,0.1226415094339622,0.0277579647727785,5.0,5.0,5.0,True,True,Rank
1,3,Rachel Hunter,0.8666666666666667,0.2452830188679245,0.313205832111717,1.5,1.0,1.5,False,False,Rank
1,3,Joey McIntyre,0.7333333333333333,0.2075471698113207,0.2251741549229522,3.0,3.0,3.0,False,True,Rank
1,4,John O'Hurley,0.7,0.2282608695652174,0.2759938726936284,2.5,3.0,2.5,False,True,Rank
1,4,Kelly Monaco,0.8666666666666667,0.2826086956521739,0.2622325538864035,1.0,2.0,1.0,False,False,Rank
1,4,Rachel Hunter,0.8333333333333334,0.2717391304347826,0.1077860146500297,4.0,4.0,4.0,True,True,Rank
1,4,Joey McIntyre,0.6666666666666666,0.217391304347826,0.3539875587699383,2.5,1.0,2.5,False,True,Rank
1,5,John O'Hurley,0.9,0.3698630136986301,0.5783758021836083,1.0,1.0,1.0,False,True,Rank
1,5,Kelly Monaco,0.7833333333333333,0.321917808219178,0.18971652206034,2.5,3.0,2.5,False,True,Rank
1,5,Joey McIntyre,0.75,0.3082191780821917,0.2319076757560517,2.5,2.0,2.5,False,True,Rank
1,6,John O'Hurley,0.9,0.4954128440366973,0.6646057461509923,1.5,1.0,1.5,False,True,Rank
1,6,Kelly Monaco,0.9166666666666666,0.5045871559633027,0.3353942538490077,1.5,2.0,1.5,False,True,Rank
2,1,Tatum O'Neal,0.7666666666666667,0.1179487179487179,0.1253902340641751,2.0,2.0,2.0,False,False,Rank
2,1,Tia Carrere,0.6666666666666666,0.1025641025641025,0.1044231146589466,6.0,6.0,6.0,False,False,Rank
2,1,George Hamilton,0.6,0.0923076923076923,0.102046593583631,7.5,8.0,7.5,False,True,Rank
2,1,Lisa Rinna,0.6333333333333333,0.0974358974358974,0.099193708110668,7.5,7.0,7.5,False,False,Rank
2,1,Stacy Keibler,0.7333333333333333,0.1128205128205128,0.1190070429848253,4.0,4.0,4.0,False,False,Rank
2,1,Jerry Rice,0.7,0.1076923076923076,0.1108076923141283,5.0,5.0,5.0,False,False,Rank
2,1,Giselle Fernandez,0.7666666666666667,0.1179487179487179,0.125161372962249,3.0,3.0,3.0,False,False,Rank
2,1,Master P,0.4,0.0615384615384615,0.0722149789782937,9.5,9.0,9.5,False,True,Rank
2,1,Drew Lachey,0.8,0.123076923076923,0.1308214504952307,1.0,1.0,1.0,False,False,Rank
2,1,Kenny Mayne,0.4333333333333333,0.0666666666666666,0.010933811847853,9.5,10.0,9.5,True,True,Rank
2,2,Tatum O'Neal,0.5666666666666667,0.0849999999999999,0.0197231193695046,8.5,9.0,8.5,True,True,Rank
2,2,Tia Carrere,0.7333333333333333,0.1099999999999999,0.1051765647633806,5.0,5.0,5.0,False,False,Rank
2,2,George Hamilton,0.7333333333333333,0.1099999999999999,0.0927856192252424,6.0,6.0,6.0,False,False,Rank
2,2,Lisa Rinna,0.6666666666666666,0.0999999999999999,0.1013369238822391,7.0,7.0,7.0,False,True,Rank
2,2,Stacy Keibler,0.9666666666666668,0.145,0.1742182574381774,1.0,1.0,1.0,False,False,Rank
2,2,Jerry Rice,0.7666666666666667,0.115,0.118882036916526,4.0,4.0,4.0,False,False,Rank
2,2,Giselle Fernandez,0.8,0.12,0.1407011914103687,3.0,3.0,3.0,False,False,Rank
2,2,Master P,0.5333333333333333,0.08,0.0738337386927283,8.5,8.0,8.5,False,True,Rank
2,2,Drew Lachey,0.9,0.135,0.1733425483018326,2.0,2.0,2.0,False,False,Rank
2,3,Tia Carrere,0.8666666666666667,0.1428571428571428,0.1076286586365655,5.0,4.0,5.0,False,False,Rank
2,3,George Hamilton,0.7333333333333333,0.1208791208791208,0.1088445456778127,7.0,7.0,7.0,False,True,Rank
2,3,Lisa Rinna,0.8333333333333334,0.1373626373626373,0.1109240660617688,3.0,5.0,3.0,False,False,Rank
2,3,Stacy Keibler,0.9,0.1483516483516483,0.1440630517506159,2.0,2.0,2.0,False,False,Rank
